departure_date,arrival_date,flight_duration_hours,flight_cost,flight_class,departure_city,departure_country,arrival_city,arrival_country
2025-07-16,2025-07-16,2,915.97,First,New York City,USA,Los Angeles,USA
2025-07-16,2025-07-16,10,682.3,Business,New York City,USA,London,United Kingdom
2025-07-16,2025-07-16,10,190.63,Economy,New York City,USA,Paris,France
2025-07-16,2025-07-16,7,920.07,First,New York City,USA,Tokyo,Japan
2025-07-16,2025-07-16,6,669.29,Business,New York City,USA,Dubai,United Arab Emirates
2025-07-16,2025-07-16,3,1026.52,First,New York City,USA,Sydney,Australia
2025-07-16,2025-07-16,10,565.24,Business,New York City,USA,Rome,Italy
2025-07-16,2025-07-16,7,102.94,Economy,New York City,USA,Bangkok,Thailand
2025-07-16,2025-07-16,9,586.08,Business,New York City,USA,Singapore,Singapore
2025-07-16,2025-07-16,6,693.35,Business,Los Angeles,USA,New York City,USA
2025-07-16,2025-07-17,11,675.35,Business,Los Angeles,USA,London,United Kingdom
2025-07-16,2025-07-17,11,437.03,Business,Los Angeles,USA,Paris,France
2025-07-16,2025-07-17,11,452.41,Business,Los Angeles,USA,Tokyo,Japan
2025-07-16,2025-07-16,5,483.75,Business,Los Angeles,USA,Dubai,United Arab Emirates
2025-07-16,2025-07-16,5,1126.95,First,Los Angeles,USA,Sydney,Australia
2025-07-16,2025-07-16,9,633.64,Business,Los Angeles,USA,Rome,Italy
2025-07-16,2025-07-16,4,510.93,Business,Los Angeles,USA,Bangkok,Thailand
2025-07-16,2025-07-16,10,253.25,Economy,Los Angeles,USA,Singapore,Singapore
2025-07-16,2025-07-16,6,992.83,First,London,United Kingdom,New York City,USA
2025-07-16,2025-07-16,8,1080.74,First,London,United Kingdom,Los Angeles,USA
2025-07-16,2025-07-16,2,617.9,Business,London,United Kingdom,Paris,France
2025-07-16,2025-07-16,5,543.72,Business,London,United Kingdom,Tokyo,Japan
2025-07-16,2025-07-16,6,527.21,Business,London,United Kingdom,Dubai,United Arab Emirates
2025-07-16,2025-07-16,2,624.12,Business,London,United Kingdom,Sydney,Australia
2025-07-16,2025-07-16,3,956.31,First,London,United Kingdom,Rome,Italy
2025-07-16,2025-07-16,2,649.64,Business,London,United Kingdom,Bangkok,Thailand
2025-07-16,2025-07-17,11,664.21,Business,London,United Kingdom,Singapore,Singapore
2025-07-16,2025-07-16,2,1155.42,First,Paris,France,New York City,USA
2025-07-16,2025-07-16,9,671.15,Business,Paris,France,Los Angeles,USA
2025-07-16,2025-07-16,4,1184.69,First,Paris,France,London,United Kingdom
2025-07-16,2025-07-16,7,828.75,First,Paris,France,Tokyo,Japan
2025-07-16,2025-07-16,3,210.01,Economy,Paris,France,Dubai,United Arab Emirates
2025-07-16,2025-07-16,2,291.08,Economy,Paris,France,Sydney,Australia
2025-07-16,2025-07-16,6,553.67,Business,Paris,France,Rome,Italy
2025-07-16,2025-07-16,6,233.91,Economy,Paris,France,Bangkok,Thailand
2025-07-16,2025-07-16,8,206.79,Economy,Paris,France,Singapore,Singapore
2025-07-16,2025-07-16,4,134.42,Economy,Tokyo,Japan,New York City,USA
2025-07-16,2025-07-16,8,159.08,Economy,Tokyo,Japan,Los Angeles,USA
2025-07-16,2025-07-17,12,234.98,Economy,Tokyo,Japan,London,United Kingdom
2025-07-16,2025-07-16,2,1197.03,First,Tokyo,Japan,Paris,France
2025-07-16,2025-07-16,7,1142.68,First,Tokyo,Japan,Dubai,United Arab Emirates
